Leather Furnishing,,,,,,,,,,,
,,,,,,,,,,,
Customer Name:,,,,,,,,,,,
Address:,,,,,,,1.2,,,,
Customer Order No:,,,,,,,Ex works UK,,,,
Cat Page,Collection,Style,Product Name,Range,Colour,Price in GBP, Approx Price in EURO,YOUR ORDER,BARCODE,Amount Total GBP,Column1
,,LF-101,Key Tray,,,£12.00,€ 14.05,,5061049603442,£0.00,
,,LF-102,Coin Tray,,,£10.00,€ 11.75,,5061049603459,£0.00,
,,LF-103,Mouse Pad,,,£10.00,€ 11.75,,5061049603466,£0.00,
,,LF-104,Pen Holder,,,£14.00,€ 16.40,,5061049603473,£0.00,
,,LF-105,Glass Top Triple Watch Box,,,£28.00,€ 32.75,,5061049603480,£0.00,
,,LF-106,Glass Top Double Watch Box,,,£20.00,€ 23.45,,5061049603497,£0.00,
,,LF-107,Pen Holder,,,£10.00,€ 11.75,,5061049603503,£0.00,
,,LF-108,Desk Mat,,,£18.00,€ 21.05,,5061049603510,£0.00,
,,LF-109,Paper Tray,,,£20.00,€ 23.75,,5061049603527,£0.00,
,,LF-110,Hip Flask,,,£12.00,€ 14.05,,5061049603534,£0.00,
,,LF-111,A6 Note Book,,,£12.00,€ 14.05,,5061049603541,£0.00,
,,LF-112,A5 Note Book,,,£14.00,€ 16.40,,5061049603558,£0.00,
,,LF-113,A4 Note Book,,,£16.00,€ 18.75,,5061049603565,£0.00,
,,LF-114,Letter Rack,,,£24.00,€ 28.05,,5061049603572,£0.00,
,,LF-115,Book Holder,,,£24.00,€ 28.05,,5061049603589,£0.00,
,,LF-116,Tissue Box,,,£20.00,€ 23.45,,5061049603596,£0.00,
,,LF-117,Chess Set & Box,,,£120.00,€ 140.35,,5061049603602,£0.00,
,,LF-118,Single Watch Box,,,£16.00,€ 18.75,,5061049603619,£0.00,
,,LF-119,Double Watch Box,,,£20.00,€ 23.45,,5061049603626,£0.00,
,,LF-120, Triple Watch Box,,,£26.00,€ 30.45,,5061049603633,£0.00,
,,LF-121,Quad Watch Box,,,£32.00,€ 37.45,,5061049603640,£0.00,
,,LF-122,Medium Photo Frame,,,£16.00,€ 18.75,,5061049603657,£0.00,
,,LF-123,Large Photo Frame,,,£20.00,€ 23.45,,5061049603664,£0.00,
,,LF-124,Table Mat,,,£12.00,€ 14.05,,5061049603671,£0.00,
,,LF-125,Long Key Tray,,,£16.00,€ 18.75,,5061049603688,£0.00,
,,LF-126,Double Wine Bottle Carrier,,,£48.00,€ 56.15,,5061049603695,£0.00,
,,LF-127,Single Wine Bottle Carrier,,,£28.00,€ 32.75,,5061049603701,£0.00,
,,LF-128,Wine Holder,,,£24.00,€ 28.05,,5061049603718,£0.00,
,,LF-129,Shoe-Horn,,,£10.00,€ 11.75,,5061049603725,£0.00,
,,LF-130,Magnifying Glass,,,£10.00,€ 11.75,,5061049603732,£0.00,
,,LF-131,Bottle Opener,,,£10.00,€ 11.75,,5061049603749,£0.00,
,,LF-132,Champaign Cork Screw,,,£10.00,€ 11.75,,5061049603756,£0.00,
,,LF-133,Ice Tongs,,,£6.00,€ 7.05,,5061049603763,£0.00,
,,LF-134,Bar Stool - Woven,,,£180.00,€ 210.55,,5061049603770,£0.00,
,,LF-135,Bar Counter,,,"£1,100.00","€ 1,287.45",,5061049603787,£0.00,
,,LF-136,Bar Stool  ,,,£175.00,€ 204.80,,5061049603794,£0.00,
,,LF-137,Wine Chiller,,,£60.00,€ 70.25,,5061049603800,£0.00,
,,LF-138,Umbrella Stand,,,£78.00,€ 91.35,,5061049603817,£0.00,
,,LF-139,Chess Table,,,£400.00,€ 468.05,,5061049603824,£0.00,
,,LF-140,Bell,,,£24.00,€ 28.05,,5061049603831,£0.00,
,,LF-141,Bowl Chair,,,£195.00,€ 228.25,,5061049603848,£0.00,
,,LF-142,Woven Stool ,,,£99.00,€ 115.85,,5061049603855,£0.00,
,,LF-143,Dressing Stool ,,,£120.00,€ 140.45,,5061049603862,£0.00,
,,LF-144,Hexagon Mirror,,,£120.00,€ 140.45,,5061049603879,£0.00,
,,LF-145,Large Square Mirror,,,£180.00,€ 210.65,,5061049603886,£0.00,
,,LF-146,Butler Tray,,,£175.00,€ 204.75,,5061049603893,£0.00,
,,LF-147,Trunk,,,£395.00,€ 462.25,,5061049603909,£0.00,
,,LF-148,Coffee Table,,,£650.00,€ 760.55,,5061049603916,£0.00,
,,LF-149,Writing Desk,,,£795.00,€ 930.15,,5061049603923,£0.00,
,,LF-150,Side Table,,,£395.00,€ 462.15,,5061049603930,£0.00,
,,LF-151,Trunk Side Table,,,£395.00,€ 462.15,,5061049603947,£0.00,
,,LF-152,Trunk Storage Table ,,,£450.00,€ 526.65,,5061049603954,£0.00,
,,LF-153,Mini Bar,,,£650.00,€ 760.65,,5061049603961,£0.00,
,,LF-154,Brass Console,,,£500.00,€ 585.15,,5061049603978,£0.00,
,,LF-155,Large Trunk,,,£575.00,€ 672.95,,5061049603985,£0.00,
,,LF-156,Butler Tray,,,£195.00,€ 228.25,,5061049603992,£0.00,
,,LF-157,Brass Tray,,,£30.00,€ 35.15,,5061049604005,£0.00,
,,LF-158,Leather Tray,,,£22.00,€ 25.75,,5061049604012,£0.00,
,,LF-159,Round Coaster,,,£12.00,€ 14.05,,5061049604029,£0.00,
,,LF-160,Square Coaster,,,£14.00,€ 16.40,,5061049604036,£0.00,
,,LF-161,Magazine Basket,,,£60.00,€ 70.25,,5061049604043,£0.00,
,,LF-162,Woven Magazine Basket,,,£60.00,€ 70.25,,5061049604050,£0.00,
,,LF-163,Small Jewellery Box,,,£32.00,€ 37.45,,5061049604067,£0.00,
,,LF-164,Medium Jewellery Box,,,£64.00,€ 74.85,,5061049604074,£0.00,
,,LF-165,Handbag Jewellery Box,,,£54.00,€ 63.25,,5061049604081,£0.00,
,,LF-166,Square Jewellery Box ,,,£50.00,€ 58.55,,5061049604098,£0.00,
,,LF-167,Director's Chair,,,£190.00,€ 222.35,,5061049604104,£0.00,
,,LF-168,Golf Bag,,,£795.00,€ 930.35,,5061049604111,£0.00,
,,LF-169,Hungry Hippo,,,£90.00,€ 105.35,,5061049604128,£0.00,
,,LF-170,Round Jewellery Leather Box,,,£58.00,€ 67.85,,5061049604135,£0.00,
,,LF-171,Pouffe,,,£60.00,€ 70.25,,5061049604142,£0.00,
,,LF-172,Triple Layer Paper Tray,,,£48.00,€ 56.20,,5061049604159,£0.00,
,,LF-173,A4 Zip Folder,,,£36.00,€ 42.15,,5061049604166,£0.00,
,,LF-174,Brass Coffee Table,,,£799.00,€ 935.05,,5061049604173,£0.00,
,,LF-175,Bear,,,£64.00,€ 74.95,,5061049604197,£0.00,
,,LF-176,Elephant,,,£64.00,€ 74.95,,5061049604203,£0.00,
,,LF-177,Turtle,,,£64.00,€ 74.95,,5061049604210,£0.00,
,,LF-178,Horse,,,£64.00,€ 74.95,,5061049604227,£0.00,
,,LF-179,Pony,,,£64.00,€ 74.95,,5061049604234,£0.00,
,,LF-180,Rhino,,,£64.00,€ 74.95,,5061049604241,£0.00,
,,LF-181,Dog,,,£64.00,€ 74.95,,5061049604258,£0.00,
,,LF-182,Chesterfield Single Sofa,,,£799.00,€ 935.05,,5061049604265,£0.00,
,,LF-183,Chesterfield Single Chair,,,£699.00,€ 817.95,,5061049604272,£0.00,
,,LF-184,Small Storage Box,,,£100.00,€ 117.05,,5061049604289,£0.00,
,,LF-185,Medium Storage Box,,,£120.00,€ 140.45,,5061049604296,£0.00,
,,LF-186,Large Storage Box,,,£140.00,€ 163.85,,5061049604302,£0.00,
,,LF-187,Wine Box,,,£149.00,€ 174.35,,5061049604319,£0.00,
,,LF-188,Drink Shaker Mixer,,,£20.00,€ 23.45,,5061049604326,£0.00,
,,LF-189,Double Length Pouffe,,,£90.00,€ 105.35,,5061049604340,£0.00,
,,LF-190,Folding Chair,,,£99.00,€ 115.85,,5061049604357,£0.00,
,,LF-191,Car Seat Chair,,,£140.00,€ 163.85,,5061049604364,£0.00,
,,,,,,,,,,,
